Categoria,Ayuda del formulario a la categoría,
Carnetización,"Para la expedición del carnet por primera vez, debe tomar su cita a través de:
https://bit.ly/Cita_para_carnetizacion",
Actualización de datos personales,"La División de Registro y Matrícula de la Sede Bogotá informa que, la actualización de datos personales como nombres, apellidos, sexo biológico, tipo o número de documento de identidad, debe ser solicitado a través de: https://bit.ly/DRM_Actualizacion_Datos_Bogota
Es importante mantener estos datos actualizados y coincidentes con la Registraduría Nacional para evitar inconvenientes con reportes de la Universidad ante el Ministerio de Educación Nacional entre otras entidades",
Calendario académico,"Calendario Académicos 2026-1S 

ACUERDO 29 DE 2025 del Consejo de Sede Bogotá
2025-2S Sede Bogotá.

https://legal.unal.edu.co/rlunal/home/doc.jsp?d_i=115331  ",Esto cambia cada semestre/ depende del calendario académico
Certificados,"El estudiante puede descargar el certificado desde su Portal de Servicios  Académicos SIA, cabe anotar que si el certificado que genera el sistema no le es útil o no lo puede generar, debe comunicarse directamente con la Secretaría de Facultad a la que pertenece, dependencia encargada de su expedición.  ",
"Gestión Académica - Inscripción, adiciones y cancelaciones de asignaturas","Inscripción de asignaturas o actividades académicas por el portal académico del SIA 2026-1S

Desde el 24 enero 2026

Hasta el 28 enero 2026

El aplicativo de solicitud de cupos se habilita de acuerdo con las fechas establecidas en el calendario académico de la Sede Bogotá ( 29 enero 2026  )  mediante el siguiente enlace: https://solicitudesbog.unal.edu.co/  

Adición y cancelación asignaturas y actividades académicas sin pérdida de créditos a través del portal académico del SIA.
Desde el 02 febrero 2026 

Hasta el 13 febrero 2026

 https://legal.unal.edu.co/rlunal/home/doc.jsp?d_i=115331  ",Esto cambia cada semestre/ depende del calendario académico
Gestión Económica - Información general,"Fraccionamiento de matrícula de pregrado 2026-1S
Resolución 1339 de 2022 de la Rectoría
Primera cuota
Derechos de bienestar: 10% del concepto de matrícula (Depende del PBM)
Sistematización: $88.160
Seguro estudiantil o póliza: $25.000
Derechos de bienestar universitario, sistematización y seguro estudiantil o póliza

Segunda cuota
50% del valor de los derechos de matrícula neta

Tercera cuota
50% del valor de los derechos de matrícula neta

Calendario pagos de matrícula Pregrado

Resolución 1339 de 2022 de la Rectoría

Habilitación de recibos de matrícula de estudiantes de pregrado 2026-1S  desde el 16 de enero de 2026

Fechas de pago primer cuota de fraccionamiento de matrícula estudiantes de pregrado 
oportuno hasta 31 de enero de 2026
Extemporáneo hasta 05 de febrero de 2026

Fechas de pago segunda cuota de fraccionamiento de matrícula estudiantes de pregrado
oportuno hasta 4 de marzo de 2026
Extemporáneo hasta 6 de marzo de 2026

Fechas de pago tercer cuota de fraccionamiento de matrícula estudiantes de pregrado
oportuno hasta 6 de abril de 2026
Extemporáneo hasta 8 abril de 2026

(Circular 2 de 2026 Rectoría)",Esto cambia cada semestre/ depende del calendario académico
Gestión Económica - Inconsistencias sobre recibo,"El fraccionamiento de matrícula para los estudiantes nivel pregrado de la Universidad se encuentra establecido por norma según  el parágrafo 4 del artículo 1 de la Resolución de Rectoría 1339 de 2022 “Por la cual se adopta el sistema de fraccionamiento de matrícula para todos los estudiantes de pregrado de la Universidad  “establece que la misma, aplica a todos los estudiantes de pregrado de la Universidad, el fraccionamiento estipulado en el presente artículo no aplicará a los estudiantes con financiaciones externas y descuentos del 100% sobre el concepto de derechos académicos, a quienes se les generará  recibo único.",
Gestión Económica - Unificación de recibos,"La División de Registro,  le informa que no está autorizada para generar recibos de matrícula únicos (sin fraccionar). Esto se debe a que, según lo establecido en el parágrafo 4 del artículo 1 de la Resolución de Rectoría 1339 de 2022, “Por la cual se adopta el sistema de fraccionamiento de matrícula para todos los estudiantes de pregrado de la Universidad ”, el fraccionamiento aplica a todos los estudiantes de pregrado de la Universidad. 
Únicamente se exceptúan de esta medida los estudiantes con financiaciones externas y aquellos con descuentos del 100% sobre el concepto de derechos académicos, a quienes se les generará un recibo único.
",
Reubicación socioeconómica en Pregrado,"Las decisiones tomadas sobre solicitudes de reubicación socioeconómica y aplazamientos de matricula inicial son tramitadas directamente ante el Comité de Matrícula de Sede, se le sugiere dirigir su requerimiento con esta área y solicitar orientación.Es importante brindar información confiable y asertiva, debido a que, esta División no tiene competencia con estas solicitudes.
Comité de Matrícula comatri_bog@unal.edu.co 
Ventanilla exclusica https://forms.gle/nGyNf87W43u7Kzio8 ",
Aplazamiento de matrícula inicial,"
Aplazamiento de Matrícula Inicial – Requisitos y Procedimiento

Para poder solicitar el Aplazamiento de la Matrícula Inicial ante el Comité de Matrícula de Sede, el/la admitido(a) debe cumplir con los siguientes requisitos indispensables:

Haber diligenciado el Formulario de Registro (FORE).

Haber entregado, dentro de los plazos establecidos según su programa, la documentación solicitada por la División de Registro, incluyendo:

Resultados del ICFES.

Acta de grado.",
